Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Joker
89,4,44,35,18,24,7
90,23,5,19,34,36,12
91,8,35,16,21,18,14
92,7,25,19,42,4,5
93,36,10,20,30,24,5
94,9,31,34,33,26,17
95,36,22,37,17,39,11
96,39,32,3,18,23,8
97,44,4,24,8,37,1
98,37,31,26,42,27,18
99,30,21,26,42,40,20
100,10,15,42,41,24,10
101,19,29,7,9,20,9
102,10,44,37,19,22,17
103,45,29,28,38,22,6
104,8,13,7,42,45,2
105,35,41,43,7,28,6
106,45,24,37,5,34,18
107,37,14,6,26,22,8
108,34,17,12,33,25,11
109,27,37,14,45,23,8
110,17,42,33,18,39,13
111,16,29,26,31,30,8
112,30,44,8,26,24,15
113,27,30,21,3,19,2
114,32,37,16,9,18,19
115,29,25,17,9,43,15
116,29,1,23,2,19,4
117,34,11,10,25,26,13
118,28,10,31,22,38,16
119,37,32,43,38,40,3
120,20,8,2,36,33,4
121,16,21,42,7,4,15
122,13,37,14,26,43,18
123,42,36,15,12,38,14
124,30,10,32,42,25,2
125,43,28,15,2,41,11
126,16,4,17,42,9,17
127,20,30,33,24,43,1
128,37,18,6,31,34,10
129,45,2,23,39,14,10
130,8,37,7,40,20,4
131,34,20,11,3,45,14
132,13,27,7,17,33,18
133,2,4,10,29,15,6
134,18,22,37,2,35,19
135,13,7,23,9,37,17
136,19,25,26,43,6,16
137,45,41,8,10,9,16
138,43,26,22,42,6,3
139,21,11,8,41,7,10
140,17,29,2,37,3,2
141,16,27,42,19,6,5
142,40,27,41,18,2,14
143,24,14,20,10,16,15
144,6,11,1,35,2,6
145,33,15,13,24,19,9
146,32,40,24,23,29,20
147,33,9,40,14,37,6
148,11,29,40,37,27,18
149,13,19,44,30,43,10
150,23,21,34,2,13,6
151,37,3,6,43,4,2
152,44,41,33,30,3,17
153,9,45,41,2,7,20
154,11,1,39,35,34,7
155,45,9,24,38,15,18
156,25,43,30,20,33,19
157,35,26,28,27,5,18
158,32,41,20,13,18,13
159,21,43,8,45,32,9
160,5,45,26,19,24,2
161,23,27,21,18,14,16
162,15,34,17,23,16,9
163,17,32,31,16,44,16
164,14,19,34,33,18,16
165,43,32,8,1,40,20
166,9,16,21,20,37,15
167,4,1,16,8,3,20
168,1,19,42,18,38,18
169,15,29,31,30,18,3
170,6,23,27,16,8,18
171,16,39,17,10,41,8
172,42,31,18,28,14,14
173,1,32,37,6,41,13
174,1,18,26,24,15,3
175,44,24,39,8,35,18
176,4,28,10,22,31,12
177,9,32,4,44,21,11
178,27,4,9,22,3,17
179,8,21,23,36,40,13
180,16,29,37,26,43,16
181,44,36,20,11,22,19
182,34,3,12,21,7,16
183,9,15,30,24,3,4
184,8,40,32,24,44,20
185,26,20,9,31,11,20
186,42,43,25,20,24,15
187,11,17,16,36,29,20
188,26,28,20,37,1,5
189,42,24,23,28,37,7
190,38,11,15,20,16,9
191,38,15,1,4,32,7
192,31,20,23,2,45,12
193,16,36,25,30,42,16
194,27,18,26,29,36,6
195,30,29,31,5,3,3
196,12,5,25,13,40,16
197,33,44,12,1,17,16
198,11,42,25,31,41,9
199,30,26,41,21,34,3
200,16,19,15,24,2,1
201,7,17,36,35,42,7
202,37,40,41,25,34,14
203,6,2,21,11,44,6
204,34,20,38,13,26,8
205,17,34,35,19,41,4
206,21,5,14,30,29,17
207,42,18,16,6,24,1
208,35,43,37,28,10,7
209,9,28,10,18,8,2
210,45,41,43,32,20,6
211,10,35,43,45,5,14
212,18,9,31,27,5,3
213,14,5,18,10,43,8
214,9,5,25,19,11,13
215,40,28,45,2,9,18
216,23,11,33,44,27,11
217,16,26,5,4,39,15
218,41,1,33,8,9,18
219,4,18,24,1,30,6
220,41,22,12,9,21,5
221,15,13,34,11,44,7
222,5,7,32,10,25,12
223,43,8,23,26,30,15
224,20,8,45,14,7,6
225,32,13,33,28,2,16
226,42,18,4,43,32,19
227,3,36,35,16,27,9
228,4,30,13,39,36,8
229,32,22,43,5,20,6
230,7,25,2,22,42,2
231,36,21,5,20,13,18
232,12,2,13,29,19,3
233,32,35,2,19,33,2
234,19,14,36,13,9,8
235,35,19,28,24,26,11
236,26,6,32,41,45,7
237,44,19,5,8,6,19
238,40,38,43,32,36,7
239,23,10,29,22,17,19
240,40,45,31,43,27,17
241,12,2,40,18,27,18
242,16,19,37,36,10,4
243,1,37,4,36,18,9
244,9,41,8,37,21,3
245,13,24,10,37,42,15
246,29,14,21,36,16,14
247,12,3,27,9,14,3
248,45,1,2,32,12,2
249,38,20,22,12,37,1
250,18,10,44,15,14,1
251,3,19,15,24,45,7
252,32,13,28,6,27,17
253,12,43,27,1,31,2
254,18,44,42,4,26,10
255,19,35,34,11,17,5
256,15,32,30,2,33,16
257,1,27,30,9,26,5
258,12,20,29,17,43,11
259,23,25,20,24,32,2
260,20,14,31,37,45,8
261,27,36,30,26,39,17
262,30,16,45,43,32,3
263,18,24,5,4,31,6
264,43,33,28,10,35,7
265,8,11,22,1,44,11
266,44,39,34,40,37,12
267,36,4,3,26,1,18
268,41,44,22,6,31,13
269,23,14,38,17,15,12
270,37,39,3,30,38,9
271,33,41,35,22,19,13
272,3,19,5,41,32,3
273,40,39,18,29,14,19
274,45,30,26,41,11,6
275,36,40,3,27,15,20
276,27,26,8,43,37,4
277,17,43,32,10,31,16
278,13,23,44,21,14,2
279,2,44,5,27,29,20
280,19,37,9,29,13,1
281,26,35,21,10,3,17
282,17,30,33,25,9,1
283,44,31,32,13,19,6
284,33,41,4,1,15,10
285,21,19,22,32,3,1
286,6,9,25,37,22,2
287,37,31,28,3,15,3
288,34,30,1,19,35,2
289,9,38,23,1,2,2
290,2,9,7,30,15,10
291,21,29,39,45,7,20
292,28,41,15,27,44,8
293,28,35,23,37,27,3
294,12,20,13,33,38,11
295,24,29,38,12,3,9
296,2,27,5,1,19,11
297,42,6,28,3,45,9
298,13,27,14,31,35,12
299,23,11,37,17,2,12
300,37,40,26,44,13,11
301,19,34,29,32,30,12
302,23,30,40,16,5,13
303,32,27,4,5,39,10
304,14,35,10,22,17,6
305,40,7,36,2,27,3
306,41,31,18,19,8,16
307,9,44,26,2,12,10
308,40,27,7,2,6,8
309,44,41,25,13,35,1
310,29,34,22,28,41,9
311,41,7,8,3,43,20
312,43,16,7,39,4,5
313,19,17,33,15,16,5
314,35,18,12,10,21,1
315,10,1,29,27,45,3
316,33,30,7,31,28,10
317,8,1,31,17,27,16
318,39,36,37,8,42,20
319,42,39,25,10,28,10
320,23,34,20,21,29,10
321,2,3,38,29,44,18
322,8,11,37,40,42,13
323,40,36,16,5,29,19
324,3,43,41,2,39,13
325,45,31,19,4,25,7
326,31,42,7,39,23,4
327,18,21,36,44,40,1
328,13,11,36,31,6,9
329,37,33,42,21,31,14
330,3,32,19,12,24,19
331,40,6,41,43,2,19
332,28,16,7,33,2,20
333,29,8,18,44,11,8
334,24,9,12,22,34,6
335,31,10,4,41,34,17
336,31,4,28,14,34,20
337,7,5,20,6,24,7
338,37,13,31,38,32,9
339,24,45,22,8,41,6
340,4,14,35,17,12,11
341,27,19,7,17,22,15
342,8,44,18,10,22,1
343,41,9,20,29,5,14
344,35,11,27,40,45,18
345,24,2,43,10,19,14
346,18,42,2,5,10,17
347,25,7,28,41,19,14
348,29,2,19,6,42,8
349,21,40,18,12,5,8
350,10,17,14,20,28,18
351,35,13,5,39,36,10
352,8,23,42,22,37,3
353,17,5,25,1,22,17
354,36,12,3,28,5,8
355,35,1,32,19,23,12
356,44,31,34,45,37,7
357,20,42,41,44,3,10
358,13,44,34,22,20,20
359,29,33,6,38,43,15
360,29,25,40,5,26,3
361,11,45,31,3,32,3
362,3,20,19,13,39,17
363,1,12,2,45,11,17
364,17,11,44,25,13,3
365,18,41,8,29,6,7
366,23,12,40,35,38,11
367,1,19,41,20,17,10
368,30,41,6,10,8,12
369,34,40,5,39,33,3
370,25,26,40,21,11,14
371,25,23,36,39,16,18
372,33,6,38,34,19,3
373,30,21,27,20,39,6
374,35,15,16,29,43,15
375,23,17,3,7,19,14
376,33,1,32,30,16,19
377,35,24,40,13,14,5
378,21,15,40,5,44,12
379,2,12,40,41,28,6
380,7,30,23,22,42,14
381,44,39,6,1,22,19
382,27,22,41,32,2,10
383,13,31,43,27,2,19
384,16,7,29,12,22,11
385,18,10,6,1,34,20
386,43,14,22,17,15,12
387,38,19,30,6,1,14
388,13,28,2,20,24,7
389,42,3,4,36,31,10
390,23,26,32,10,9,5
391,17,19,18,13,4,7
392,3,39,18,8,26,11
393,30,15,9,21,37,10
394,22,25,11,23,16,15
395,42,12,29,34,11,13
396,3,38,35,23,10,19
397,41,37,26,29,2,20
398,14,39,27,44,2,15
399,15,25,2,18,43,6
400,5,12,27,11,19,9
401,38,10,18,17,40,6
402,6,38,17,13,37,5
403,5,17,26,22,33,1
404,37,28,11,1,6,9
405,20,40,14,8,35,5
406,13,34,43,11,24,5
407,24,15,35,45,21,17
408,31,27,37,9,7,16
409,41,14,43,34,17,15
410,7,15,40,19,29,1
411,45,1,41,6,15,16
412,7,34,15,17,5,3
413,23,19,16,32,3,9
414,17,5,8,25,26,13
415,22,40,29,16,9,6
416,17,28,44,25,40,8
417,8,36,7,31,38,19
418,35,28,39,45,2,1
419,30,33,18,35,20,7
420,41,15,25,36,10,3
421,18,45,23,27,39,20
422,20,27,18,19,39,17
423,41,16,12,18,3,3
424,29,35,40,21,42,3
425,19,17,30,22,28,12
426,35,33,45,41,38,4
427,44,30,14,13,25,10
428,3,7,27,28,23,17
429,10,33,1,7,17,2
430,12,15,44,13,29,5
431,11,10,39,8,38,4
432,20,33,41,31,40,13
433,16,11,7,32,18,5
434,3,2,5,38,29,3
435,45,24,43,40,33,12
436,39,34,16,22,15,10
437,9,5,15,43,25,10
438,35,3,40,43,2,17
439,23,38,15,2,4,16
440,42,45,27,4,36,11
441,7,19,30,37,6,20
442,22,37,25,14,30,17
443,27,22,45,24,9,20
444,11,43,40,33,6,9
445,36,22,39,7,3,10
446,42,14,3,20,27,1
447,26,12,17,1,24,5
448,5,2,35,27,22,14
449,37,30,4,6,27,15
450,45,8,12,25,5,5
451,9,32,33,37,21,19
452,5,3,6,30,44,19
453,21,39,13,24,5,18
454,16,7,30,17,42,19
455,16,45,4,38,44,13
456,1,5,13,4,11,16
457,7,11,6,2,25,5
458,6,9,34,36,22,14
459,29,27,36,42,8,7
460,13,1,6,40,25,17
461,35,38,4,9,8,10
462,4,21,6,29,33,10
463,42,17,44,10,24,15
464,34,33,29,11,44,13
465,40,30,14,26,15,17
466,19,20,45,39,32,20
467,26,18,19,29,1,16
468,3,9,45,41,35,7
469,3,6,8,15,32,15
470,26,14,25,3,43,10
471,14,15,10,28,23,12
472,33,13,10,16,45,4
473,11,23,36,15,14,18
474,40,20,29,24,14,13
475,15,30,16,43,18,5
476,6,32,15,37,13,9
477,10,44,8,29,22,4
478,5,33,10,45,26,14
479,24,20,45,6,16,7
480,10,8,25,23,20,17
481,8,12,18,2,34,2
482,8,40,30,44,21,10
483,31,1,35,3,14,1
484,22,13,43,28,6,14
485,18,44,28,31,13,2
486,16,5,33,9,24,4
487,34,3,14,39,43,18
488,14,39,29,26,22,4
489,15,36,24,8,16,10
490,17,1,24,4,2,10
491,23,36,20,32,1,7
492,29,32,43,33,40,17
493,37,1,4,18,14,12
494,39,8,16,35,18,18
495,4,1,12,31,32,9
496,7,4,41,19,38,1
497,41,30,18,44,34,19
498,37,14,39,5,28,17
499,26,5,38,21,43,11
500,18,24,7,29,11,3
501,35,39,37,24,1,1
502,43,15,14,12,13,17
503,31,12,11,37,3,6
504,5,7,43,26,14,11
505,14,2,20,45,21,9
506,21,26,18,12,9,20
507,37,44,32,20,8,19
508,2,5,35,14,41,17
509,45,9,13,43,37,12
510,43,26,22,10,23,14
511,32,13,9,6,38,14
512,8,31,5,38,20,13
513,19,12,21,14,1,14
514,7,37,16,2,21,5
515,32,33,12,9,11,6
516,37,21,14,3,18,20
517,11,18,16,12,24,6
518,7,25,33,1,11,9
519,43,23,27,39,24,8
520,9,5,11,37,44,7
521,43,11,9,3,25,3
522,45,19,3,11,37,5
523,41,25,1,42,7,20
524,27,13,45,33,41,13
525,22,12,19,43,8,18
526,44,21,8,42,16,3
527,2,7,36,45,18,10
528,10,15,39,6,26,6
529,17,19,40,5,3,20
530,16,44,4,18,1,11
531,28,24,1,16,6,18
532,44,23,29,16,4,5
533,15,44,36,25,12,19
534,22,15,8,19,43,4
535,6,3,41,23,7,8
536,16,7,40,9,27,5
537,5,32,28,41,29,12
538,5,18,35,13,30,5
539,25,31,34,9,11,20
540,40,18,45,44,2,9
541,33,4,18,11,31,8
542,25,36,41,11,34,16
543,37,6,20,39,30,9
544,30,29,14,24,10,20
545,5,2,10,35,25,19
546,5,23,9,20,44,11
547,5,3,11,36,23,16
548,22,7,21,17,20,16
549,35,6,13,5,41,1
550,11,9,41,3,7,19
551,1,45,5,4,29,3
552,27,12,21,35,20,14
553,16,8,39,9,41,19
554,12,2,39,1,34,19
555,32,5,40,34,4,1
556,20,28,31,22,4,5
557,18,8,19,30,28,17
558,45,31,34,16,27,10
559,33,35,2,23,21,3
560,23,5,19,3,25,14
561,24,43,33,44,45,2
562,5,11,2,25,14,4
563,6,20,4,13,30,12
564,20,7,14,38,41,1
565,20,19,44,41,23,11
566,43,13,4,23,18,13
567,11,9,2,40,18,8
568,34,45,28,43,7,20
569,33,44,17,9,23,17
570,24,19,18,17,38,10
571,40,17,28,8,6,4
572,35,30,23,33,6,19
573,13,25,18,3,34,14
574,21,24,18,34,42,20
575,21,31,2,19,30,18
576,23,14,31,13,3,14
577,29,22,17,37,14,7
578,34,42,37,18,43,15
579,16,2,11,19,20,9
580,11,33,24,36,8,6
581,16,28,37,3,35,19
582,6,35,15,34,10,6
583,17,21,23,20,13,5
584,9,18,12,22,6,1
585,43,37,29,6,23,10
586,14,34,6,35,19,12
587,29,31,33,2,44,1
588,34,17,39,21,14,1
589,2,40,30,39,3,20
590,37,27,8,35,28,20
591,11,29,44,1,9,4
592,44,20,30,25,35,17
593,40,45,11,44,31,7
594,17,30,19,9,11,17
595,34,8,28,24,26,10
596,13,44,37,20,23,2
597,2,34,43,8,36,11
598,4,30,28,26,1,17
599,10,45,11,3,18,19
600,10,22,4,40,19,8
601,10,44,19,21,32,8
602,43,16,32,41,34,5
603,12,39,4,33,15,14
604,13,20,16,27,10,15
605,6,40,8,28,30,12
606,26,10,17,41,4,4
607,11,36,20,43,1,2
608,4,28,41,15,39,18
609,9,22,2,44,45,16
610,31,24,36,6,14,3
611,5,17,20,15,21,5
612,10,44,4,33,24,19
613,45,28,16,15,2,9
614,7,6,3,4,36,5
615,23,3,41,44,7,7
616,31,40,9,16,8,5
617,30,20,41,9,2,4
618,17,10,9,22,4,3
619,27,5,44,12,6,16
620,43,11,8,2,32,6
621,29,4,45,25,36,17
622,8,23,33,27,39,4
623,9,14,35,34,32,16
624,13,16,37,28,25,6
625,31,18,45,3,23,3
626,13,28,37,42,33,9
627,44,31,28,34,16,12
628,41,33,13,9,34,11
629,12,4,25,30,8,7
630,42,2,19,18,15,3
631,3,12,21,32,16,10
632,25,31,6,33,39,20
633,6,7,29,30,27,11
634,34,39,27,44,17,2
635,11,21,23,16,42,13
636,28,19,16,4,41,19
637,7,3,12,25,13,12
638,29,36,44,32,33,8
639,27,13,39,17,33,14
640,8,26,27,32,7,14
641,7,39,16,40,23,6
642,25,30,18,19,8,16
643,13,4,31,43,2,2
644,36,31,1,13,32,12
645,23,38,24,1,32,20
646,12,43,11,18,27,10
647,5,12,14,4,1,20
648,36,6,23,41,18,12
649,16,29,24,26,8,3
650,39,37,1,36,15,9
651,4,3,31,23,20,10
652,41,33,25,42,21,16
653,41,8,23,25,33,3
654,16,37,3,29,9,9
655,5,27,36,41,40,8
656,3,40,18,21,30,20
657,31,5,34,8,23,9
658,7,1,35,25,18,5
659,35,42,24,17,28,7
660,15,8,33,7,4,15
661,11,6,37,16,30,20
662,8,3,4,7,14,12
663,13,24,20,32,31,5
664,40,4,13,1,29,20
665,1,36,18,33,32,1
666,37,3,6,21,2,14
667,3,44,20,27,14,10
668,17,31,29,18,6,7
669,44,22,31,19,13,10
670,11,41,38,22,19,11
671,22,38,29,40,9,13
672,12,8,40,28,26,17
673,23,26,34,31,4,6
674,34,33,26,27,16,4
675,42,43,11,45,17,13
676,16,22,7,21,40,13
677,24,10,18,12,16,13
678,22,28,32,2,40,6
679,37,20,4,26,7,7
680,23,6,29,4,22,11
681,8,30,9,26,17,13
682,23,39,11,1,22,19
683,35,37,7,39,12,8
684,26,45,11,36,25,9
685,28,37,34,33,6,14
686,11,3,30,36,19,2
687,31,40,30,13,5,7
688,8,39,3,43,42,2
689,35,5,29,28,19,2
690,14,40,25,20,9,20
691,16,44,32,23,34,18
692,36,5,31,38,17,7
693,36,26,27,30,5,17
694,34,45,25,26,15,1
695,33,14,17,26,11,1
696,27,8,34,31,4,19
697,1,45,36,6,13,13
698,16,19,17,5,44,4
699,28,24,5,4,30,15
700,22,25,24,13,16,3
701,29,38,31,20,24,10
702,21,23,17,7,39,5
703,26,13,21,43,9,13
704,44,17,42,8,40,3
705,30,31,6,1,2,15
706,18,24,12,30,31,20
707,6,45,30,37,44,17
708,8,18,17,6,30,5
709,42,11,45,34,28,10
710,44,22,18,12,13,15
711,8,43,25,35,45,4
712,29,6,38,43,34,6
713,18,25,14,36,33,4
714,9,11,40,10,36,6
715,6,13,18,8,25,2
716,1,37,8,32,2,10
717,45,17,35,37,3,15
718,7,35,11,21,16,4
719,40,14,44,37,45,11
720,7,33,23,31,45,7
721,45,40,20,18,16,15
722,9,1,45,42,40,6
723,1,17,38,29,19,12
724,37,39,28,26,12,4
725,13,8,23,5,15,12
726,2,43,45,39,27,2
727,44,22,32,41,43,8
728,40,8,15,35,34,11
729,37,6,4,23,26,3
730,15,39,6,21,33,20
731,4,17,45,1,5,18
732,43,40,34,30,17,19
733,34,2,1,30,11,12
734,8,29,26,20,45,6
735,19,17,45,5,21,1
736,10,28,18,24,12,14
737,15,3,7,35,23,4
738,30,38,32,9,34,10
739,8,37,16,27,42,11
740,11,29,14,26,39,5
741,34,35,23,42,18,15
742,27,31,28,7,23,18
743,22,3,33,12,13,7
744,31,30,1,19,35,16
745,3,29,1,10,35,1
746,12,35,17,23,18,6
747,4,9,10,18,38,1
748,30,17,34,45,27,14
749,14,28,5,8,22,1
750,7,22,3,8,9,3
751,7,25,3,8,39,15
752,37,44,20,29,34,12
753,35,33,37,3,20,7
754,40,5,33,23,12,5
755,32,26,18,25,22,12
756,33,16,41,26,42,3
757,41,16,36,21,5,10
758,33,4,13,40,6,7
759,35,33,40,34,26,16
760,14,18,24,40,11,5
761,8,5,20,33,17,4
762,2,6,43,39,30,1
763,23,36,39,1,17,14
764,27,36,22,28,16,4
765,30,43,15,29,24,10
766,41,18,43,34,1,5
767,22,8,37,33,29,20
768,42,3,5,18,28,13
769,18,37,16,39,43,19
770,12,16,2,19,22,5
771,37,17,26,36,44,2
772,5,11,15,2,1,20
773,44,38,6,29,43,15
774,18,9,15,24,1,6
775,16,39,33,2,22,18
776,35,34,32,21,27,9
777,7,19,20,37,3,2
778,39,33,29,4,38,3
779,37,31,3,13,15,4
780,32,18,17,14,38,16
781,18,32,1,35,23,6
782,40,35,17,9,42,13
783,15,19,13,10,29,20
784,8,35,4,13,9,5
785,35,12,9,10,41,20
786,28,18,5,29,42,11
787,27,32,44,45,23,5
788,45,38,2,42,11,1
789,3,35,39,38,9,18
790,32,40,15,38,4,4
791,40,23,39,13,18,14
792,12,45,19,36,28,17
793,12,17,32,44,37,6
794,5,33,41,40,23,6
795,28,6,9,10,40,2
796,27,8,43,23,19,20
797,15,26,30,32,1,2
798,9,30,44,6,10,3
799,5,8,34,18,25,12
800,45,39,19,41,15,18
801,20,45,36,3,19,4
802,13,18,9,4,27,1
803,45,10,9,42,22,19
804,9,17,14,30,16,14
805,4,39,13,37,36,10
806,28,41,4,36,1,15
807,2,30,13,38,34,12
808,43,10,2,12,11,15
809,44,3,38,33,27,17
810,8,6,15,7,3,4
811,15,16,11,23,22,9
812,23,5,39,33,3,7
813,30,39,41,19,38,6
814,32,30,10,42,6,11
815,39,32,14,1,13,14
816,17,41,21,7,36,7
817,26,21,17,23,30,10
818,31,18,11,7,39,15
819,23,45,20,9,11,5
820,11,30,35,28,37,10
821,18,2,1,30,32,4
822,41,17,31,25,33,15
823,13,25,20,28,36,6
824,13,1,19,14,29,13
825,25,7,33,9,30,11
826,21,6,45,44,26,1
827,16,2,17,14,15,7
828,4,20,16,3,8,5
829,36,20,5,37,15,1
830,38,17,37,28,8,2
831,32,39,40,13,22,13
832,45,13,31,25,43,3
833,11,41,20,38,27,7
834,11,8,27,31,32,13
835,5,33,32,30,20,4
836,39,13,9,29,19,20
837,7,33,28,20,12,2
838,11,23,20,43,45,7
839,9,40,30,8,24,18
840,32,15,29,42,3,5
841,17,29,28,4,40,14
842,31,37,6,17,42,12
843,5,11,42,20,28,10
844,6,1,37,5,13,18
845,14,22,16,32,25,16
846,37,32,36,42,33,3
847,36,14,32,43,9,9
848,13,36,15,30,37,19
849,6,25,32,13,29,20
850,12,24,4,9,32,16
851,4,39,30,6,10,17
852,38,44,27,13,40,17
853,24,15,45,29,28,16
854,39,33,29,35,14,4
855,24,45,17,29,10,4
856,36,10,19,30,8,9
857,32,31,28,4,22,10
858,45,14,44,25,39,20
859,7,19,15,2,11,13
860,2,34,3,32,10,7
861,9,7,18,19,39,3
862,8,34,26,27,1,3
863,20,29,33,7,44,7
864,29,24,28,21,19,8
865,22,2,28,11,21,15
866,25,44,36,40,19,20
867,42,19,6,38,18,2
868,7,44,40,12,39,17
869,31,30,18,25,28,13
870,29,38,36,37,23,6
871,6,23,35,17,30,19
872,9,1,18,2,45,4
873,26,16,21,41,8,19
874,4,39,29,10,24,19
875,43,12,42,30,15,14
876,43,5,18,14,8,20
877,8,23,42,43,40,19
878,10,44,24,3,41,2
879,28,30,2,37,45,16
880,9,21,23,19,6,18
881,42,10,25,21,36,2
882,14,19,24,45,9,20
883,16,11,2,40,9,10
884,44,14,19,45,27,13
885,1,10,20,4,23,9
886,44,43,41,22,16,20
887,10,17,29,7,45,5
888,34,2,36,45,27,16
889,10,29,24,5,25,13
890,21,5,22,43,30,9
891,31,34,21,30,19,7
892,34,5,30,45,33,16
893,11,1,39,24,13,5
894,26,25,20,3,28,4
895,24,45,32,27,19,11
896,32,39,6,13,33,4
897,38,45,20,41,39,2
898,2,39,45,1,37,14
899,22,45,32,35,38,17
900,39,34,9,29,11,19
901,23,31,19,34,43,6
902,15,6,11,24,27,5
903,38,44,20,26,16,15
904,40,45,38,22,39,16
905,18,15,43,45,4,2
906,15,29,13,38,43,15
907,39,32,16,29,27,20
908,10,9,23,16,22,1
909,44,18,35,5,19,11
910,21,5,42,38,43,11
911,17,42,4,44,37,2
912,4,17,24,32,37,5
913,15,28,42,37,25,12
914,34,30,28,12,38,11
915,1,16,40,30,26,3
916,43,27,19,35,10,9
917,26,20,41,14,27,16
918,19,25,16,8,21,3
919,38,45,24,42,1,10
920,22,14,8,39,3,14
921,4,2,3,7,30,4
922,14,26,32,24,18,19
923,35,33,36,45,40,5
924,12,18,5,22,39,19
925,35,19,20,22,25,12
926,22,18,29,28,42,7
927,33,31,7,45,34,13
928,36,35,11,1,44,20
929,13,15,30,3,45,18
930,38,31,42,25,19,4
931,22,1,4,28,33,10
932,24,15,2,38,27,4
933,42,6,7,8,20,10
934,16,21,44,17,24,19
935,8,1,21,43,37,9
936,28,15,23,45,40,9
937,23,15,24,5,44,3
938,19,3,45,42,8,18
939,40,23,34,36,21,20
940,23,26,4,37,11,8
941,14,21,10,42,35,12
942,40,16,36,7,4,16
943,42,35,44,4,31,3
944,33,8,14,5,17,18
945,45,11,44,17,4,8
946,28,30,7,3,29,11
947,4,29,22,41,27,9
948,1,22,11,37,7,14
949,31,14,8,12,40,17
950,7,3,13,36,14,3
951,38,27,15,25,43,6
952,34,4,18,19,44,15
953,34,33,17,10,4,2
954,12,19,39,36,38,13
955,15,32,40,37,23,14
956,8,26,44,24,7,18
957,5,37,19,42,7,18
958,1,30,34,24,26,13
959,37,7,27,26,1,14
960,1,12,31,6,24,5
961,12,25,44,29,41,2
962,7,34,29,31,45,19
963,1,30,43,9,40,18
964,24,28,2,19,16,12
965,28,10,40,23,5,5
966,30,43,7,24,1,19
967,15,40,25,45,43,11
968,5,6,28,25,24,19
969,29,41,21,9,35,13
970,1,26,20,10,29,13
971,25,18,14,29,36,4
972,26,6,7,28,40,9
973,2,5,26,8,24,7
974,25,7,21,6,38,4
975,9,13,32,22,28,7
976,41,27,8,38,12,17
977,11,29,9,13,6,14
978,18,43,12,26,39,20
979,23,13,43,21,45,1
980,32,34,11,27,8,14
981,43,27,38,8,15,10
982,44,40,29,30,2,12
983,5,41,2,22,39,3
984,9,6,17,8,12,2
985,1,30,40,17,29,3
986,1,23,38,3,30,5
987,7,36,31,44,4,4
988,27,17,14,39,42,5
989,6,26,40,3,10,19
990,1,3,45,16,21,12
991,11,26,24,6,17,7
992,43,42,15,16,4,20
993,24,39,42,22,5,12
994,40,1,44,9,29,16
